id,quote_id,quote_line_id,created_by_id,supplier_id,description,cost,price,created_at,updated_at,generate_po,deleted_at
1,1,1,2,7,Livraison Toit Plat,85.00,150.00,2020-07-07 21:52:15.679647,2020-07-07 22:10:45.053880,true,
2,2,2,2,7,Livraison,350.00,450.00,2020-07-09 18:59:19.427692,2020-07-09 18:59:19.427692,true,
3,3,3,2,7,Livraisons,100.00,350.00,2020-07-15 16:35:21.587317,2020-07-15 16:35:21.587317,true,
5,4,8,2,7,Livraison Toit Plat,85.00,150.00,2020-07-21 21:12:47.950163,2020-07-21 21:12:47.950163,true,
6,5,10,2,7,Livraison Toit Plat,85.00,150.00,2020-07-22 23:20:43.768645,2020-07-22 23:20:43.768645,true,
7,10,12,2,7,Livraison Toit Plat,85.00,150.00,2020-07-24 17:37:43.181686,2020-07-24 17:37:43.181686,true,
10,16,17,2,7,Livraison Toit Plat,85.00,150.00,2020-07-24 18:51:01.543466,2020-07-24 18:51:01.543466,true,
11,17,19,2,7,Livraison Toit Plat,85.00,150.00,2020-07-26 14:34:05.624908,2020-07-26 14:34:05.624908,true,
12,18,21,2,7,Livraison Toit Plat,65.00,150.00,2020-08-04 03:13:53.960145,2020-08-04 03:33:00.505708,true,
13,19,23,2,7,Livraison Toit Plat,85.00,150.00,2020-08-04 16:40:57.635338,2020-08-04 16:40:57.635338,true,
14,21,25,2,7,Livraison Toit Plat,85.00,150.00,2020-08-08 20:27:49.615961,2020-08-08 20:27:49.615961,true,
15,22,27,2,7,Livraison Toit Plat,85.00,150.00,2020-08-09 14:15:20.147225,2020-08-09 14:15:20.147225,true,
16,20,28,2,7,Livraison Toit Plat,85.00,150.00,2020-08-10 10:53:12.258741,2020-08-10 10:53:12.258741,true,
17,23,29,2,7,Livraison Toit Plat,85.00,150.00,2020-08-10 11:52:57.805054,2020-08-10 11:52:57.805054,true,
18,24,30,2,7,Livraison Toit Plat,85.00,150.00,2020-08-10 12:45:22.555602,2020-08-10 12:45:22.555602,true,
21,26,33,2,7,Livraison Toit Plat,85.00,150.00,2020-08-11 19:36:05.180641,2020-08-11 19:36:05.180641,true,
23,27,35,2,7,Livraison Toit Plat,85.00,150.00,2020-08-12 12:22:41.560892,2020-08-12 12:22:41.560892,true,
25,30,40,2,7,Livraison Toit Plat,85.00,150.00,2020-08-14 05:21:21.265230,2020-08-14 05:21:21.265230,true,
26,31,41,2,7,Livraison Toit Plat,85.00,150.00,2020-08-16 14:45:08.142793,2020-08-16 14:45:08.142793,true,
27,32,42,2,7,Livraison Toit Plat,85.00,150.00,2020-08-16 16:27:27.736933,2020-08-16 16:27:27.736933,true,
28,33,43,2,7,Livraison Toit Plat,85.00,150.00,2020-08-16 17:07:26.923264,2020-08-16 17:07:26.923264,true,
29,34,44,2,7,Livraison Toit Plat,85.00,150.00,2020-08-17 14:18:06.721820,2020-08-17 14:18:06.721820,true,
30,35,45,2,7,Livraison Toit Plat,85.00,150.00,2020-08-17 16:59:07.849692,2020-08-17 16:59:07.849692,true,
31,36,46,2,7,Livraison Grues,80.00,160.00,2020-08-17 18:58:01.774229,2020-08-17 18:58:01.774229,true,
32,37,47,2,7,Livraison sur le toît,80.00,160.00,2020-08-18 03:20:38.799094,2020-08-18 03:20:38.799094,true,
33,38,48,2,7,Livraison sur le toît,80.00,160.00,2020-08-18 03:54:43.325655,2020-08-18 03:54:43.325655,true,
34,39,49,2,7,Livraison sur le toît,80.00,160.00,2020-08-18 03:55:01.903444,2020-08-18 03:55:01.903444,true,
36,40,51,2,7,Livraison Grues,80.00,160.00,2020-08-18 17:21:07.778202,2020-08-18 17:21:07.778202,true,
37,42,52,2,7,Livraison Grues,80.00,160.00,2020-08-19 22:57:25.631123,2020-08-19 22:57:25.631123,true,
38,43,53,2,7,Livraison Grues,80.00,160.00,2020-08-20 02:09:42.474039,2020-08-20 02:09:42.474039,true,
39,44,54,2,7,Livraison Toit Plat,85.00,150.00,2020-08-20 02:29:28.995560,2020-08-20 02:29:28.995560,true,
40,45,55,2,7,Livraison Toit Plat,85.00,150.00,2020-08-22 18:50:02.633349,2020-08-22 18:50:02.633349,true,
42,46,56,2,7,Livraison Grues,80.00,160.00,2020-08-23 21:14:17.405043,2020-08-23 21:14:17.405043,true,
45,47,60,2,30,Artistique skylight + livraison,150.00,150.00,2020-08-24 03:31:23.440745,2020-08-24 03:31:52.912571,true,
47,48,64,2,30,Artistique skylight + livraison,150.00,150.00,2020-08-24 04:12:08.183639,2020-08-24 04:12:08.183639,true,
48,49,65,2,7,Livraison Toit Plat,85.00,150.00,2020-08-24 12:41:05.404669,2020-08-24 12:41:05.404669,true,
49,49,65,2,91,Dompe ,600.00,800.00,2020-08-24 12:56:33.041103,2020-08-24 13:00:30.416175,true,
50,50,66,2,7,Livraison Toit Plat,85.00,150.00,2020-08-25 14:54:30.682246,2020-08-25 14:54:30.682246,true,
51,51,67,2,7,Livraison Grues,80.00,160.00,2020-08-25 23:43:28.426020,2020-08-25 23:43:28.426020,true,
52,53,68,2,7,Livraison Grues,80.00,160.00,2020-08-25 23:54:17.558235,2020-08-25 23:54:17.558235,true,
54,54,72,2,7,Livraison Toit Plat,85.00,150.00,2020-08-26 01:01:53.922143,2020-08-26 01:01:53.922143,true,
55,55,74,2,7,Livraison Grues,80.00,160.00,2020-08-27 23:45:35.512898,2020-08-27 23:45:35.512898,true,
56,56,75,2,7,Livraison Toit Plat,85.00,150.00,2020-08-28 00:19:50.296083,2020-08-28 00:19:50.296083,true,
58,56,77,2,7,Livraison Grues,0.00,0.00,2020-08-28 14:48:56.042431,2020-08-28 14:48:56.042431,true,
59,57,78,2,7,Livraison Toit Plat,150.00,300.00,2020-08-29 19:59:52.337447,2020-08-29 21:34:53.540212,true,
62,60,81,2,7,Livraison Toit Plat,150.00,300.00,2020-08-31 14:46:07.359829,2020-08-31 14:46:07.359829,true,
63,61,82,2,7,Livraison Toit Plat,150.00,300.00,2020-09-01 11:21:45.211706,2020-09-01 11:21:45.211706,true,
64,61,83,2,7,Livraison Grues,80.00,160.00,2020-09-01 11:24:08.380534,2020-09-01 11:24:08.380534,true,
65,62,84,2,7,Livraison Grues,80.00,160.00,2020-09-01 14:27:57.938195,2020-09-01 14:27:57.938195,true,
66,64,85,2,7,Livraison Toit Plat,150.00,300.00,2020-09-02 12:43:19.487329,2020-09-02 12:43:19.487329,true,
67,63,86,2,7,Livraison Toit Plat,150.00,300.00,2020-09-02 22:40:52.744803,2020-09-02 22:40:52.744803,true,
68,65,87,2,7,Livraison Grues,80.00,160.00,2020-09-03 01:18:23.315782,2020-09-03 01:18:23.315782,true,
69,66,88,2,30,Artistique skylight + livraison,150.00,150.00,2020-09-03 03:49:24.356505,2020-09-03 03:49:24.356505,true,
70,68,90,2,30,Artistique skylight + livraison,150.00,150.00,2020-09-03 04:22:45.007002,2020-09-03 04:22:45.007002,true,
71,64,91,2,7,Livraison Grues,80.00,160.00,2020-09-03 11:15:49.673029,2020-09-03 11:15:49.673029,true,
72,64,92,2,30,Artistique skylight + livraison,150.00,150.00,2020-09-03 11:38:48.055574,2020-09-03 11:38:48.055574,true,
73,69,93,2,7,Livraison Toit Plat,150.00,300.00,2020-09-03 13:27:49.738580,2020-09-03 13:27:49.738580,true,
74,70,94,2,7,Livraison Toit Plat,150.00,300.00,2020-09-03 14:57:34.098354,2020-09-03 14:57:34.098354,true,
75,70,95,2,30,Artistique skylight + livraison,150.00,150.00,2020-09-04 04:17:06.795813,2020-09-04 04:17:06.795813,true,
76,69,96,2,30,Artistique skylight + livraison,150.00,150.00,2020-09-06 18:55:46.760410,2020-09-06 18:55:46.760410,true,
77,71,97,2,7,Livraison Grues,80.00,160.00,2020-09-06 20:48:06.861834,2020-09-06 20:48:06.861834,true,
78,72,98,2,7,Livraison Grues,80.00,160.00,2020-09-08 12:05:08.864685,2020-09-08 12:05:08.864685,true,
79,26,99,2,30,Artistique skylight + livraison,150.00,150.00,2020-09-08 14:41:38.775782,2020-09-08 14:41:38.775782,true,
