quote_id,job_name,job_category,sqft_final,quoted_total,year
1,Élastomère Blanc Plex systéme ventilé,Élastomère,1484.5,15091.0,2020
18,,Unknown,950.0,11896.0,2020
19,,Unknown,1000.0,29041.0,2020
20,,Unknown,1440.0,17377.0,2020
26,Instllation unique du puits de lumière sans la boîte ,Skylights,1440.0,25843.59,2020
27,,Unknown,500.0,3210.0,2020
30,,Unknown,1440.0,3148.0,2020
31,,Unknown,850.0,10942.0,2020
32,,Unknown,1162.0,14762.0,2020
33,,Unknown,200.0,4015.0,2020
34,,Unknown,800.0,9521.0,2020
35,,Unknown,5016.0,85536.98,2020
36,Bardeaux Dynasty,Bardeaux,1200.0,6096.37,2020
37,,Unknown,100.0,3909.65,2020
38,,Unknown,100.0,3909.65,2020
39,,Unknown,100.0,3909.65,2020
40,,Unknown,1200.0,5331.37,2020
42,,Unknown,2300.0,7742.74,2020
43,,Unknown,2040.0,7069.11,2020
44,,Unknown,800.0,17064.0,2020
45,,Unknown,600.0,10386.0,2020
46,,Unknown,1200.0,10650.37,2020
48,Instllation unique du puits de lumière sans la boîte ,Skylights,2160.0,6302.25,2020
49,,Unknown,1440.0,18162.0,2020
50,,Unknown,1440.0,14621.0,2020
51,,Unknown,1200.0,5946.37,2020
53,,Unknown,1200.0,5946.37,2020
55,,Unknown,300.0,1300.0,2020
56,Bardeaux Royal Estate,Bardeaux,550.0,25689.37,2020
57,,Unknown,1440.0,36939.4,2020
60,,Unknown,750.0,11435.0,2020
61,,Unknown,900.0,25892.37,2020
62,,Unknown,1200.0,7038.4,2020
63,,Unknown,500.0,36975.0,2020
64,Instllation unique du puits de lumière sans la boîte ,Skylights,2400.0,54254.5,2020
65,,Unknown,600.0,17465.7,2020
66,Instllation unique du puits de lumière sans la boîte ,Skylights,2160.0,2387.25,2020
69,Instllation unique du puits de lumière sans la boîte ,Skylights,1200.0,24763.25,2020
70,Instllation unique du puits de lumière sans la boîte ,Skylights,2440.0,38864.36,2020
71,,Unknown,1700.0,6172.74,2020
72,,Unknown,1000.0,5920.0,2020
73,,Unknown,330.0,5946.0,2020
75,,Unknown,1200.0,7038.4,2020
76,,Unknown,1500.0,7801.37,2020
77,,Unknown,500.0,7238.3,2020
79,,Unknown,500.0,3210.0,2020
81,,Unknown,3700.0,12880.74,2020
82,Resurffaçage Élastomère  (thermosoudé) Call ,Élastomère,1200.0,7775.37,2020
83,,Unknown,950.0,12529.0,2020
84,,Unknown,800.0,15399.0,2020
86,Bardeaux Dynasty 60 paquets,Bardeaux,1200.0,7911.37,2020
88,,Unknown,1440.0,36990.0,2020
89,,Unknown,5016.0,85536.98,2020
93,Bavette/ Cabanon Bardeaux moins de 10 paquet,Bardeaux,1200.0,9729.0,2020
95,,Unknown,1440.0,14897.5,2020
96,Bardeaux Dynasty 60 paquets,Bardeaux,720.0,6606.0,2020
97,"Création de pente en polyisocyanurate, Membrane Élastomère ",Élastomère,100.0,29301.11,2020
98,Bardeaux Royal Estate,Bardeaux,3300.0,17645.37,2020
99,Bardeaux Royal Estate,Bardeaux,3300.0,15020.37,2020
101,,Unknown,1440.0,37450.0,2020
102,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,29880.0,2020
103,Bardeaux Dynasty 60 paquets,Bardeaux,1700.0,8576.74,2020
104,Dynasty Bardeaux 250 paquets,Bardeaux,6544.0,29880.0,2020
105,,Unknown,850.0,7278.0,2020
107,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,14019.37,2020
108,Bavette/ Cabanon Bardeaux moins de 10 paquet,Bardeaux,815.0,7341.53,2020
109,Instllation unique du puits de lumière sans la boîte ,Skylights,1598.0,31229.25,2020
111,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,12012.0,2020
112,,Unknown,1400.0,16896.0,2020
113,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,10762.74,2020
114,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,19743.0,2020
116,,Unknown,1440.0,19061.0,2020
117,,Unknown,1200.0,4516.37,2020
119,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,7685.0,2020
121,Élastomère Blanc avec parapet 15 carrées,Élastomère,1500.0,21777.25,2020
123,Élastomère Blanc Avec Parapet 20 Carrées,Élastomère,2000.0,26003.0,2020
124,Élastomère Blanc Avec Parapet 10 Carrées,Élastomère,800.0,14101.0,2020
127,Resurffaçage Élastomère  (thermosoudé) Call ,Élastomère,815.0,6465.0,2020
129,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,9765.0,2020
131,Élastomère Blanc avec parapet 15 carrées,Élastomère,1800.0,22067.0,2020
133,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,11400.0,2020
134,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,20558.0,2020
137,Élastomère Blanc Avec Parapet 10 Carrées,Élastomère,1500.0,14017.0,2020
139,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,7565.0,2020
140,Resurffaçage Élastomère  (thermosoudé) Call ,Élastomère,815.0,5010.0,2020
141,Dynasty Bardeaux 150 paquets,Bardeaux,2171.0,16222.74,2020
142,Élastomère Blanc Avec Parapet 20 Carrées,Élastomère,2000.0,20615.0,2020
144,Ajout de Drain de cuivre Toit plat,Other,815.0,3215.0,2020
145,Dynasty Bardeaux 150 paquets,Bardeaux,4000.0,22919.74,2020
146,Dynasty Bardeaux 150 paquets,Bardeaux,4000.0,24524.74,2020
147,Élastomère Gris sans parapet 10 carées ,Élastomère,1000.0,8796.0,2020
151,Élastomère Blanc Avec Parapet 10 Carrées,Élastomère,1000.0,14857.0,2020
152,Élastomère Blanc Avec Parapet 10 Carrées,Élastomère,1500.0,21848.0,2020
153,Bardeaux Dynasty 60 paquets,Bardeaux,1800.0,7165.0,2020
154,Bardeaux Dynasty 60 paquets,Bardeaux,1000.0,6065.8,2020
158,,Unknown,1200.0,10677.74,2020
159,Dynasty Bardeaux 150 paquets,Bardeaux,4000.0,19579.11,2020
160,Ajout de boîte 24'' x 24'' sur asphalte et gravier,Other,4000.0,20452.74,2020
162,Resurffaçage Élastomère  (thermosoudé) Call ,Élastomère,815.0,4544.0,2020
164,Élastomère Blanc Avec Parapet 10 Carrées,Élastomère,1500.0,15838.25,2020
165,Dynasty Bardeaux 150 paquets,Bardeaux,4000.0,23262.74,2020
166,Resurffaçage Élastomère  (thermosoudé) Call ,Élastomère,815.0,3638.0,2020
167,Élastomère Gris sans parapet 10 carées ,Élastomère,1000.0,10682.0,2020
169,Resurffaçage Élastomère  (thermosoudé) Call ,Élastomère,815.0,2885.0,2020
170,Bavette/ Cabanon Bardeaux moins de 10 paquet,Bardeaux,1000.0,17334.0,2020
171,,Unknown,144.0,2908.0,2020
172,"Création de pente en polyisocyanurate, Membrane Élastomère ",Élastomère,1440.0,12398.0,2020
173,Doubler Pontage plywood 1/2'' D grade,Other,1700.0,25711.03,2020
174,Élastomère Gris sans parapet 10 carées ,Élastomère,4859.0,68295.14,2020
176,Resurffaçage Élastomère  (thermosoudé) Call ,Élastomère,815.0,2491.0,2020
177,"Création de pente en polyisocyanurate, Membrane Élastomère ",Élastomère,1000.0,29321.33,2020
180,,Unknown,800.0,10413.55,2020
182,Resurffaçage Élastomère  (thermosoudé) Call ,Élastomère,815.0,44967.04,2020
184,,Unknown,1440.0,44741.09,2020
190,Resurffaçage Élastomère  (thermosoudé) Call ,Élastomère,815.0,1394.0,2020
192,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,6654.0,2020
196,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,5457.67,2021
198,,Unknown,900.0,13309.47,2021
199,,Unknown,1440.0,29786.26,2021
203,,Unknown,1500.0,20300.03,2021
206,Démolition Terrasse toit plat,Other,2004.0,3400.0,2021
207,Dynasty Bardeaux 150 paquets,Bardeaux,9000.0,36017.46,2021
209,Dynasty Bardeaux 250 paquets,Bardeaux,9000.0,111281.0,2021
211,Instllation unique du puits de lumière sans la boîte ,Skylights,1140.0,17954.44,2021
212,Instllation unique du puits de lumière sans la boîte ,Skylights,2400.0,3235.0,2021
213,Dynasty Bardeaux 150 paquets,Bardeaux,4000.0,24619.14,2021
214,Dynasty Bardeaux 150 paquets,Bardeaux,2600.0,15473.9,2021
215,Bardeaux 500 paquets,Bardeaux,13728.0,62035.33,2021
216,Instllation unique du puits de lumière sans la boîte ,Skylights,2400.0,13160.84,2021
217,Élastomère Gris sans parapet 10 carées ,Élastomère,1620.0,10938.22,2021
225,Dynasty Bardeaux 150 paquets,Bardeaux,4000.0,17074.9,2021
227,"Création de pente en polyisocyanurate, Membrane Élastomère ",Élastomère,1140.0,20272.75,2021
228,,Unknown,806.0,13361.09,2021
230,,Unknown,800.0,15416.36,2021
231,Bavette/ Cabanon Bardeaux moins de 10 paquet,Bardeaux,900.0,9814.36,2021
232,,Unknown,1506.0,20319.4,2021
233,Bardeaux Dynasty 60 paquets,Bardeaux,1400.0,14787.14,2021
236,Bardeaux Dynasty 60 paquets,Bardeaux,1300.0,6932.49,2021
237,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,6988.99,2021
238,Bardeaux Dynasty 60 paquets,Bardeaux,1428.0,5583.99,2021
241,Élastomère Gris sans parapet 10 carées ,Élastomère,1200.0,5622.15,2021
242,Bardeaux Dynasty 60 paquets,Bardeaux,2000.0,7366.99,2021
244,Dynasty Bardeaux 250 paquets,Bardeaux,5500.0,24619.14,2021
246,,Unknown,1480.0,17318.11,2021
247,Élastomère Blanc Avec Parapet 10 Carrées,Élastomère,220.0,5846.1,2021
249,,Unknown,850.0,10785.19,2021
251,Instllation unique du puits de lumière sans la boîte ,Skylights,2704.0,3970.71,2021
253,,Unknown,1000.0,4431.6,2021
