quote_id,job_category,sqft,pattern,quoted_total
85,Bardeaux,300.0,parentheses after word,1107.99
110,Bardeaux,300.0,parentheses after word,1065.0
118,Bardeaux,300.0,parentheses after word,12564.5
120,Bardeaux,300.0,parentheses after word,4978.0
138,Bardeaux,300.0,parentheses after word,940.0
155,Bardeaux,300.0,parentheses after word,4204.8
194,Bardeaux,300.0,parentheses after word,535.87
202,Bardeaux,300.0,parentheses after word,1256.0
208,Bardeaux,300.0,parentheses after word,1851.0
308,Bardeaux,300.0,parentheses after word,7334.65
2450,Unknown,1750.0,X pieds carrés,15750.0
5616,Other,815.0,X pi2,14526.9
